Tetris: The Grandmaster (999/20G)
=================================

Total:  154
-----------
GM x     44
S9 x     74
S8 x     32
S7 x      4
-----------

-------------------------- 09:50 / 00:59
-------------------------- 10:00 / 01:00
-------------------------- 10:10 / 01:01
-------------------------- 10:20 / 01:02
-------------------------- 10:30 / 01:03
-------------------------- 10:40 / 01:04
-------------------------- 10:50 / 01:05
10:55:53 / S9 / 2021-01-26
10:57:43 / GM / 2021-01-31
10:58:66 / GM / 2020-09-13
10:59:83 / S9 / 2020-09-13
-------------------------- 11:00 / 01:06
11:01:38 / S9 / 2020-09-18
11:02:50 / S9 / 2021-01-30
11:02:60 / S9 / 2020-09-17
11:03:80 / S9 / 2021-01-28
11:05:50 / GM / 2020-09-20
11:05:83 / GM / 2020-09-17
11:06:20 / GM / 2020-02-25
11:06:83 / S9 / 2020-09-13
11:07:36 / S9 / 2020-09-15
11:07:45 / GM / 2021-01-26
11:07:60 / GM / 2020-09-14
-------------------------- 11:10 / 01:07
11:10:25 / GM / 2020-09-18
11:11:95 / S9 / 2021-01-30
11:12:03 / S9 / 2020-09-18
11:13:18 / S9 / 2021-01-01
11:14:28 / GM / 2021-01-01
11:15:23 / GM / 2020-09-22
11:15:33 / GM / 2021-01-30
11:16:65 / GM / 2020-02-27
11:17:13 / S8 / 2020-09-19
11:17:20 / S9 / 2020-09-19
11:17:73 / S8 / 2020-09-22
11:18:58 / S8 / 2021-01-01
11:19:08 / S9 / 2021-01-31
11:19:56 / GM / 2020-09-20
-------------------------- 11:20 / 01:08
11:22:61 / S9 / 2021-01-30
11:22:75 / S9 / 2020-09-18
11:24:78 / S9 / 2021-01-01
11:27:35 / S8 / 2021-01-26
-------------------------- 11:30 / 01:09
11:30:06 / GM / 2020-09-22
11:30:08 / GM / 2021-01-26
11:30:86 / GM / 2020-01-11
11:32:05 / GM / 2020-01-30
11:33:33 / S9 / 2019-12-09
11:33:60 / GM / 2020-01-08
11:34:40 / S9 / 2021-01-27
11:34:78 / S9 / 2020-01-21
11:38:80 / GM / 2020-09-24
11:39:55 / GM / 2020-01-26
11:39:61 / S9 / 2020-05-09
11:39:85 / S9 / 2019-10-20
-------------------------- 11:40 / 01:10
11:40:01 / GM / 2020-01-01
11:40:56 / S9 / 2019-12-06
11:40:70 / GM / 2020-09-21
11:41:70 / S9 / 2020-01-01
11:42:91 / S9 / 2020-01-22
11:43:56 / GM / 2019-12-31
11:43:76 / S9 / 2019-12-06
11:44:40 / GM / 2020-01-24
11:45:05 / GM / 2019-10-13
11:45:26 / S9 / 2019-09-21
11:45:30 / S9 / 2019-12-31
11:45:15 / GM / 2020-01-18
11:46:36 / S9 / 2020-01-29
11:47:06 / GM / 2020-01-27
11:48:60 / S9 / 2020-01-10
11:48:80 / S9 / 2020-01-27
11:49:66 / GM / 2020-01-25
11:49:75 / S8 / 2019-12-14
-------------------------- 11:50 / 01:11
11:50:81 / S9 / 2020-01-30
11:50:86 / GM / 2020-05-08
11:51:30 / GM / 2019-10-17
11:52:83 / S7 / 2019-12-16
11:53:61 / S9 / 2019-12-08
11:53:73 / S8 / 2019-12-17
11:53:85 / S9 / 2020-01-25
11:53:96 / S9 / 2020-01-29
11:54:06 / S9 / 2020-01-09
11:56:41 / S9 / 2019-10-13
11:56:50 / GM / 2019-12-16
11:57:00 / S9 / 2019-10-16
11:57:90 / S9 / 2019-10-06
11:59:60 / S8 / 2020-05-13
11:57:93 / S9 / 2019-10-13
11:58:15 / GM / 2019-12-01
11:58:50 / S9 / 2019-12-06
11:58:58 / S9 / 2020-01-24
11:59:41 / GM / 2019-12-08
11:59:43 / S9 / 2020-01-25
11:59:78 / S9 / 2019-12-10
-------------------------- 12:00 / 01:12
12:01:63 / S9 / 2019-12-31
12:02:85 / S8 / 2020-05-07
12:03:13 / GM / 2019-10-18
12:03:23 / S9 / 2020-01-05
12:05:46 / GM / 2019-12-08
12:05:70 / GM / 2019-08-31
12:06:03 / GM / 2019-10-07
12:06:08 / S8 / 2020-01-05
12:06:58 / S9 / 2019-10-27
12:07:03 / S8 / 2019-10-12
12:07:61 / S9 / 2019-10-06
-------------------------- 12:10 / 01:13
12:10:58 / S9 / 2019-10-12
12:10:60 / S8 / 2019-10-18
12:11:45 / S9 / 2019-12-16
12:12:61 / S9 / 2019-10-18
